loc_id,loc_id_group,loc_type,easting,northing,WD,loc_purpose,loc_purpose_comb,year,FD
MRV-CPT22-01,MRV-CPT22-01,CPT,640131.14,6259955.25,70.0,MRV-CPT22-01,MRV-CPT22-01,2022,20.14
MRV-CPT22-02,MRV-CPT22-02,CPT,643314.18,6262667.09,67.6,MRV-CPT22-02,MRV-CPT22-02,2022,21.18
MRV-SCPT22-05,MRV-SCPT22-05,CPT,646606.46,6271789.3,72.6,MRV-SCPT22-05,MRV-SCPT22-05,2022,25.02
MRV-CPT22-06,MRV-CPT22-06,CPT,643414.46,6269065.4,70.3,MRV-CPT22-06,MRV-CPT22-06,2022,21.35
MRV-CPT22-07alt,MRV-CPT22-07alt,CPT,640217.04,6266301.29,67.5,MRV-CPT22-07alt,MRV-CPT22-07alt,2022,8.38
MRV-CPT22-07alta,MRV-CPT22-07alt,CPT,640218.24,6266296.98,67.4,MRV-CPT22-07alt,MRV-CPT22-07alt,2022,9.96
MRV-CPT22-07altb,MRV-CPT22-07alt,CPT,640213.72,6266300.74,67.5,MRV-CPT22-07alt,MRV-CPT22-07alt,2022,9.56
MRV-CPT22-08,MRV-CPT22-08,CPT,637025.44,6263611.57,69.6,MRV-CPT22-08,MRV-CPT22-08,2022,24.16
MRV-CPT22-09,MRV-CPT22-09,CPT,633921.94,6267265.71,69.4,MRV-CPT22-09,MRV-CPT22-09,2022,14.81
MRV-CPT22-09a,MRV-CPT22-09,CPT,633921.99,6267262.43,69.3,MRV-CPT22-09,MRV-CPT22-09,2022,15.12
MRV-CPT22-09b,MRV-CPT22-09,CPT,633918.17,6267265.24,69.4,MRV-CPT22-09,MRV-CPT22-09,2022,22.1
MRV-SCPT22-10,MRV-SCPT22-10,CPT,637097.23,6269971.03,68.8,MRV-SCPT22-10,MRV-SCPT22-10,2022,23.01
MRV-CPT22-11,MRV-CPT22-11,CPT,640314.93,6272719.44,67.4,MRV-CPT22-11,MRV-CPT22-11,2022,17.31
MRV-CPT22-11a,MRV-CPT22-11,CPT,640314.25,6272715.95,67.4,MRV-CPT22-11,MRV-CPT22-11,2022,18.07
