loc_id_group,loc_purp,soil_unit,soil_type,depth_top,depth_bot,desc_type,soil_desc,soil_col,HZ_geo,HZ_depth_bot,soil_unit_thickness
MRV-CPT22-01,MRV-CPT22-01,F S,S,0.0,0.7,Major,Forth - Sand,black,,,0.7
MRV-CPT22-01,MRV-CPT22-01,MB S,S,0.7,4.5,Major,Marr Bank - Sand,olive,,,3.8
MRV-CPT22-01,MRV-CPT22-01,MB S,S,4.5,11.0,Unit sub layer,Marr Bank - Sand,,,,6.5
MRV-CPT22-01,MRV-CPT22-01,MB S,S,11.0,13.8,Unit sub layer,Marr Bank - Sand,,,,2.8000000000000007
MRV-CPT22-01,MRV-CPT22-01,MP S,S,13.8,16.35,Major,Middle Pleistocene - Sand,red,,,2.5500000000000007
MRV-CPT22-01,MRV-CPT22-01,MP S,S,16.35,18.9,Unit sub layer,Middle Pleistocene - Sand,,,,2.549999999999997
MRV-CPT22-01,MRV-CPT22-01,MP S,S,18.9,20.14,Unit sub layer,Middle Pleistocene - Sand,,,,1.240000000000002
MRV-CPT22-01,MRV-CPT22-01,MP S,S,20.14,40.76,Unit sub layer,Middle Pleistocene - Sand,,,,20.619999999999997
MRV-CPT22-01,MRV-CPT22-01,CU Ch,Ch,40.76,54.75,Major,Upper chalk,purple,,,13.990000000000002
MRV-CPT22-01,MRV-CPT22-01,CM Ch,Ch,54.75,110.0,Major,Middle chalk,olive,,,55.25
MRV-CPT22-02,MRV-CPT22-02,F S,S,0.0,0.6,Major,Forth - Sand,black,,,0.6
MRV-CPT22-02,MRV-CPT22-02,F S,S,0.6,1.9,Unit sub layer,Forth - Sand,,,,1.2999999999999998
MRV-CPT22-02,MRV-CPT22-02,MB S,S,1.9,2.8,Major,Marr Bank - Sand,olive,,,0.8999999999999999
MRV-CPT22-02,MRV-CPT22-02,MB S,S,2.8,3.9,Unit sub layer,Marr Bank - Sand,,,,1.1
MRV-CPT22-02,MRV-CPT22-02,MB S,S,3.9,4.8,Unit sub layer,Marr Bank - Sand,,,,0.8999999999999999
MRV-CPT22-02,MRV-CPT22-02,MB S,S,4.8,6.7,Unit sub layer,Marr Bank - Sand,,,,1.9000000000000004
MRV-CPT22-02,MRV-CPT22-02,MB S,S,6.7,12.2,Unit sub layer,Marr Bank - Sand,,,,5.499999999999999
MRV-CPT22-02,MRV-CPT22-02,MB S,S,12.2,14.1,Unit sub layer,Marr Bank - Sand,,,,1.9000000000000004
MRV-CPT22-02,MRV-CPT22-02,MB S,S,14.1,17.8,Unit sub layer,Marr Bank - Sand,,,,3.700000000000001
MRV-CPT22-02,MRV-CPT22-02,MB S,S,17.8,19.0,Unit sub layer,Marr Bank - Sand,,,,1.1999999999999993
MRV-CPT22-02,MRV-CPT22-02,MP HF,S,19.0,20.5,Major,Middle Pleistocene - Sand with high fines content,blue,,,1.5
MRV-CPT22-02,MRV-CPT22-02,MP S,S,20.5,21.18,Major,Middle Pleistocene - Sand,red,,,0.6799999999999997
MRV-CPT22-02,MRV-CPT22-02,MP S,S,21.18,49.76,Unit sub layer,Middle Pleistocene - Sand,,,,28.58
MRV-CPT22-02,MRV-CPT22-02,Lista LS,Limestone,49.76,66.35,Major,Lista - Limestone,orange,,,16.589999999999996
MRV-CPT22-02,MRV-CPT22-02,CU Ch,Ch,66.35,80.62,Major,Upper chalk,purple,,,14.27000000000001
MRV-CPT22-02,MRV-CPT22-02,CM Ch,Ch,80.62,110.0,Major,Middle chalk,olive,,,29.379999999999995
MRV-CPT22-06,MRV-CPT22-06,F S,S,0.0,0.3,Major,Forth - Sand,black,,,0.3
MRV-CPT22-06,MRV-CPT22-06,F S,S,0.3,1.0,Unit sub layer,Forth - Sand,,,,0.7
MRV-CPT22-06,MRV-CPT22-06,F S,S,1.0,2.2,Unit sub layer,Forth - Sand,,,,1.2000000000000002
MRV-CPT22-06,MRV-CPT22-06,F C,C,2.2,4.0,Major,Forth - Clay,purple,,,1.7999999999999998
MRV-CPT22-06,MRV-CPT22-06,MB C,C,4.0,4.5,Major,Marr Bank - Clay,pink,,,0.5
MRV-CPT22-06,MRV-CPT22-06,MB C,C,4.5,6.1,Unit sub layer,Marr Bank - Clay,,,,1.5999999999999996
MRV-CPT22-06,MRV-CPT22-06,MB C,C,6.1,8.4,Unit sub layer,Marr Bank - Clay,,,,2.3000000000000007
MRV-CPT22-06,MRV-CPT22-06,MB C,C,8.4,9.05,Unit sub layer,Marr Bank - Clay,,,,0.6500000000000004
MRV-CPT22-06,MRV-CPT22-06,MB S,S,9.05,11.0,Major,Marr Bank - Sand,olive,,,1.9499999999999993
MRV-CPT22-06,MRV-CPT22-06,MB S,S,11.0,13.3,Unit sub layer,Marr Bank - Sand,,,,2.3000000000000007
MRV-CPT22-06,MRV-CPT22-06,MB S,S,13.3,15.35,Unit sub layer,Marr Bank - Sand,,,,2.049999999999999
MRV-CPT22-06,MRV-CPT22-06,MP HF,S,15.35,16.7,Major,Middle Pleistocene - Sand with high fines content,blue,,,1.3499999999999996
MRV-CPT22-06,MRV-CPT22-06,MP S,S,16.7,18.2,Major,Middle Pleistocene - Sand,red,,,1.5
MRV-CPT22-06,MRV-CPT22-06,MP S,S,18.2,20.75,Unit sub layer,Middle Pleistocene - Sand,,,,2.5500000000000007
MRV-CPT22-06,MRV-CPT22-06,MP S,S,20.75,21.35,Unit sub layer,Middle Pleistocene - Sand,,,,0.6000000000000014
MRV-CPT22-06,MRV-CPT22-06,MP S,S,21.35,51.22,Unit sub layer,Middle Pleistocene - Sand,,,,29.869999999999997
MRV-CPT22-06,MRV-CPT22-06,Mousa MS,Mudstone,51.22,69.44,Major,Mousa - Mudstone,green,,,18.22
MRV-CPT22-06,MRV-CPT22-06,Lista LS,Limestone,69.44,110.0,Major,Lista - Limestone,orange,,,40.56
MRV-CPT22-07alt,MRV-CPT22-07alt,F S,S,0.0,0.8,Major,Forth - Sand,black,,,0.8
MRV-CPT22-07alt,MRV-CPT22-07alt,MB C,C,0.8,1.8,Major,Marr Bank - Clay,pink,,,1.0
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,1.8,5.7,Major,Marr Bank - Sand,olive,,,3.9000000000000004
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,5.7,7.2,Unit sub layer,Marr Bank - Sand,,,,1.5
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,7.2,8.4,Unit sub layer,Marr Bank - Sand,,,,1.2000000000000002
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,8.4,9.0,Unit sub layer,Marr Bank - Sand,,,,0.5999999999999996
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,9.0,9.96,Unit sub layer,Marr Bank - Sand,,,,0.9600000000000009
MRV-CPT22-07alt,MRV-CPT22-07alt,MB S,S,9.96,16.75,Unit sub layer,Marr Bank - Sand,,,,6.789999999999999
